user,game,round,period,price,treated,timestamp
5a0dd163fa79d0001917451a,5a0dd20efa79d0001917451d,1,0,5,true,1510855331945
5a0dd175fa79d0001917451b,5a0dd20efa79d0001917451d,1,0,5,true,1510855341125
5a0dd20dfa79d0001917451c,5a0dd20efa79d0001917451d,1,0,3,true,1510855414234
5a0dd249fa79d00019174520,5a0dd27efa79d00019174524,1,0,5,false,1510855432227
5a0dd108fa79d00019174519,5a0dd20efa79d0001917451d,1,0,3,true,1510855444410
5a0dd249fa79d00019174520,5a0dd27efa79d00019174524,1,0,4,false,1510855444931
5a0dd108fa79d00019174519,5a0dd20efa79d0001917451d,1,0,2.9,true,1510855455042
5a0dd24bfa79d00019174521,5a0dd27efa79d00019174524,1,0,5,false,1510855609289
5a0dd175fa79d0001917451b,5a0dd20efa79d0001917451d,1,0,1,true,1510855619020
5a0d867ceb6946001bf7308c,5a0dd20efa79d0001917451d,1,0,1,true,1510855621620
5a0dd2f7fa79d0001917453d,5a0dd338fa79d0001917455c,1,0,3,true,1510855631562
5a0dd317fa79d0001917454d,5a0dd338fa79d0001917455c,1,0,3,true,1510855639331
5a0dd175fa79d0001917451b,5a0dd20efa79d0001917451e,2,0,5,true,1510855900313
5a0dd163fa79d0001917451a,5a0dd20efa79d0001917451e,2,0,2,true,1510855944509
5a0dd20dfa79d0001917451c,5a0dd20efa79d0001917451e,2,0,4,true,1510855970194
5a0dd175fa79d0001917451b,5a0dd20efa79d0001917451e,2,0,4,true,1510856004865
5a0dd20dfa79d0001917451c,5a0dd20efa79d0001917451e,2,0,3,true,1510856010864
5a0dd175fa79d0001917451b,5a0dd20efa79d0001917451e,2,0,3.5,true,1510856015384
5a0dd108fa79d00019174519,5a0dd20efa79d0001917451e,2,0,3.5,true,1510856018744
5a0dd20dfa79d0001917451c,5a0dd20efa79d0001917451e,2,0,3.8,true,1510856022594
5a0dd108fa79d00019174519,5a0dd20efa79d0001917451e,2,0,3.1,true,1510856034388
5a0dd20dfa79d0001917451c,5a0dd20efa79d0001917451e,2,0,3.7,true,1510856041120
5a0dd108fa79d00019174519,5a0dd20efa79d0001917451e,2,0,3,true,1510856046841
5a0d867ceb6946001bf7308c,5a0dd20efa79d0001917451e,2,0,3.7,true,1510856049701
5a0dd249fa79d00019174520,5a0dd27efa79d00019174525,2,0,3.6,false,1510856054718
5a0dd2f7fa79d0001917453d,5a0dd338fa79d0001917455d,2,0,4,true,1510856195205
5a0dd379fa79d0001917457a,5a0dd480fa79d00019174627,1,0,4.9,false,1510856200186
5a0dd2d6fa79d00019174537,5a0dd338fa79d0001917455d,2,0,3,true,1510856213427
5a0dd47efa79d00019174626,5a0dd480fa79d00019174627,1,0,5,false,1510856230360
5a0dd249fa79d00019174520,5a0dd27efa79d00019174525,2,0,5,false,1510856232982
5a0dd3f2fa79d000191745ca,5a0dd480fa79d00019174628,2,0,2,false,1510856531820
5a0dd2d6fa79d00019174537,5a0dd338fa79d0001917455d,2,0,2,true,1510856539737
5a0dd47efa79d00019174626,5a0dd480fa79d00019174628,2,0,2,false,1510856544632
5a0dd249fa79d00019174520,5a0dd27efa79d00019174525,2,0,2,false,1510856549079
5a0dd230fa79d0001917451f,5a0dd27efa79d00019174525,2,0,5,false,1510856553726
5a0dd47efa79d00019174626,5a0dd480fa79d00019174628,2,0,4,false,1510856556923
5a0dd249fa79d00019174520,5a0dd27efa79d00019174525,2,0,1,false,1510856564485
5a0dd34efa79d00019174567,5a0dd480fa79d00019174627,1,0,1,false,1510856566778
5a0dd3a6fa79d00019174590,5a0dd480fa79d00019174627,1,0,3,false,1510856568885
5a0dd34efa79d00019174567,5a0dd480fa79d00019174628,2,0,5,false,1510856570880
5a0dd47efa79d00019174626,5a0dd480fa79d00019174628,2,0,5,false,1510941349130
5a0dd3a6fa79d00019174590,5a0dd480fa79d00019174627,1,0,5.2,false,1510941735480
